instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_11_1.6_R_RC,1.6_R_RC,11,400,80,1.6,R,RC,1,49.8,0,10,1716.3,5118.0,22.0,9.0
HHCRSP_400_80_78_1.2_R_C,1.2_R_C,78,400,80,1.2,R,C,1,43.4,0,12,1771.7,5304.0,7.0,4.0
HHCRSP_400_80_94_0.8_C_C,0.8_C_C,94,400,80,0.8,C,C,1,46.9,0,5,1322.0,3953.0,10.0,3.0
HHCRSP_400_80_66_0.8_C_C,0.8_C_C,66,400,80,0.8,C,C,1,48.9,0,5,1321.7,3956.0,6.0,3.0
HHCRSP_400_80_86_1.0_C_C,1.0_C_C,86,400,80,1.0,C,C,1,45.6,0,6,1084.3,3247.0,3.0,1.0
HHCRSP_400_80_85_1.0_C_R,1.0_C_R,85,400,80,1.0,C,R,1,37.5,0,3,1948.3,5843.0,1.0,1.0
HHCRSP_400_80_89_1.0_R_C,1.0_R_C,89,400,80,1.0,R,C,1,43.8,0,6,1111.7,3335.0,0.0,0.0
HHCRSP_400_80_57_0.4_C_C,0.4_C_C,57,400,80,0.4,C,C,1,47.0,0,7,1874.0,5595.0,21.0,6.0
HHCRSP_400_80_30_1.6_C_RC,1.6_C_RC,30,400,80,1.6,C,RC,1,40.0,0,10,1910.0,5704.0,20.0,6.0
HHCRSP_400_80_10_0.8_C_C,0.8_C_C,10,400,80,0.8,C,C,1,42.9,0,3,1308.7,3901.0,22.0,3.0
HHCRSP_400_80_45_1.0_R_R,1.0_R_R,45,400,80,1.0,R,R,1,41.4,0,3,2093.0,6257.0,15.0,4.0
HHCRSP_400_80_78_0.8_R_RC,0.8_R_RC,78,400,80,0.8,R,RC,1,43.8,0,2,1824.7,5454.0,15.0,5.0
HHCRSP_400_80_94_1.0_C_C,1.0_C_C,94,400,80,1.0,C,C,1,46.3,0,9,1336.0,4008.0,0.0,0.0
HHCRSP_400_80_5_1.6_C_C,1.6_C_C,5,400,80,1.6,C,C,1,37.9,1,5,1624.7,4821.0,43.0,10.0
HHCRSP_400_80_59_1.0_C_C,1.0_C_C,59,400,80,1.0,C,C,1,44.4,0,0,943.7,2831.0,0.0,0.0
HHCRSP_400_80_31_1.0_R_RC,1.0_R_RC,31,400,80,1.0,R,RC,1,44.9,0,2,1681.7,5028.0,13.0,4.0
HHCRSP_400_80_44_0.4_C_RC,0.4_C_RC,44,400,80,0.4,C,RC,1,45.3,0,5,1994.0,5969.0,10.0,3.0
HHCRSP_400_80_42_1.2_R_C,1.2_R_C,42,400,80,1.2,R,C,1,48.3,0,6,1572.0,4661.0,46.0,9.0
HHCRSP_400_80_29_0.4_C_C,0.4_C_C,29,400,80,0.4,C,C,1,41.0,0,1,1398.7,4196.0,0.0,0.0
HHCRSP_400_80_91_0.4_R_RC,0.4_R_RC,91,400,80,0.4,R,RC,1,43.9,0,2,1857.7,5546.0,21.0,6.0
HHCRSP_400_80_47_1.2_R_RC,1.2_R_RC,47,400,80,1.2,R,RC,1,44.8,0,2,1629.3,4884.0,3.0,1.0
HHCRSP_400_80_99_1.0_R_C,1.0_R_C,99,400,80,1.0,R,C,1,48.9,0,2,1587.7,4742.0,18.0,3.0
HHCRSP_400_80_95_1.6_C_RC,1.6_C_RC,95,400,80,1.6,C,RC,1,44.2,0,15,1689.0,5067.0,0.0,0.0
HHCRSP_400_80_100_0.8_C_RC,0.8_C_RC,100,400,80,0.8,C,RC,1,39.5,0,5,1930.0,5759.0,24.0,7.0
HHCRSP_400_80_94_1.0_C_RC,1.0_C_RC,94,400,80,1.0,C,RC,1,47.1,0,7,1940.3,5821.0,0.0,0.0
HHCRSP_400_80_24_0.4_C_C,0.4_C_C,24,400,80,0.4,C,C,1,42.7,0,10,1846.3,5530.0,7.0,2.0
HHCRSP_400_80_56_0.4_C_RC,0.4_C_RC,56,400,80,0.4,C,RC,1,42.3,0,8,2065.0,6173.0,16.0,6.0
HHCRSP_400_80_41_1.6_C_RC,1.6_C_RC,41,400,80,1.6,C,RC,1,42.7,0,4,1892.0,5653.0,12.0,11.0
HHCRSP_400_80_63_1.6_C_RC,1.6_C_RC,63,400,80,1.6,C,RC,1,42.6,0,5,1987.0,5931.0,25.0,5.0
HHCRSP_400_80_42_1.6_R_C,1.6_R_C,42,400,80,1.6,R,C,1,47.7,0,10,1226.3,3675.0,3.0,1.0
HHCRSP_400_80_40_1.0_C_C,1.0_C_C,40,400,80,1.0,C,C,1,46.1,0,4,1088.3,3261.0,3.0,1.0
HHCRSP_400_80_68_1.6_R_C,1.6_R_C,68,400,80,1.6,R,C,1,52.5,0,12,1403.7,4176.0,20.0,15.0
HHCRSP_400_80_94_1.2_C_C,1.2_C_C,94,400,80,1.2,C,C,1,47.2,0,9,1140.3,3421.0,0.0,0.0
HHCRSP_400_80_54_1.0_R_RC,1.0_R_RC,54,400,80,1.0,R,RC,1,48.1,0,1,1783.7,5351.0,0.0,0.0
HHCRSP_400_80_37_0.4_R_RC,0.4_R_RC,37,400,80,0.4,R,RC,1,38.4,0,1,1514.7,4530.0,10.0,4.0
HHCRSP_400_80_14_0.8_C_C,0.8_C_C,14,400,80,0.8,C,C,1,50.7,0,16,1575.3,4722.0,3.0,1.0
HHCRSP_400_80_84_1.0_R_C,1.0_R_C,84,400,80,1.0,R,C,1,46.4,0,2,1475.3,4406.0,15.0,5.0
HHCRSP_400_80_29_1.0_C_RC,1.0_C_RC,29,400,80,1.0,C,RC,1,40.9,0,6,1817.3,5412.0,30.0,10.0
